,Sim,Power4,CellTemp4,Rear4,Front4,DNI,DHI,Alb,index,datetimes,Year,Month,Hour,Minutes
0,0,0,0,0,1.66019,,,0.99,0,2022-01-01 00:00:00,2022,1,0,1.46122
1,0,0,0,0,1.66764,,,0.99,1,2022-01-01 01:00:00,2022,1,1,1.55508
2,0,0,0,0,1.68676,,,0.99,2,2022-01-01 02:00:00,2022,1,2,0.916365
3,0,0,0,0,1.68982,,,0.99,3,2022-01-01 03:00:00,2022,1,3,0.793712
4,0,0,0,0,1.69924,,,0.99,4,2022-01-01 04:00:00,2022,1,4,0.565092
5,0,0,0,0,1.71474,,,0.99,5,2022-01-01 05:00:00,2022,1,5,0.789073
6,0,0,0,0,1.71375,,,0.99,6,2022-01-01 06:00:00,2022,1,6,0.803345
7,0,0.00320593,-14.6499,1.30984,3.21002,,,0.99,7,2022-01-01 07:00:00,2022,1,7,0.85031
8,0,0.0106419,-14.0175,6.56632,10.355,,,0.938684,8,2022-01-01 08:00:00,2022,1,8,0.541232
9,0,0.012423,-13.4718,6.85083,12.0715,,,0.946601,9,2022-01-01 09:00:00,2022,1,9,0.658062
10,0,0.0180008,-12.5463,8.39419,17.4348,,,0.928203,10,2022-01-01 10:00:00,2022,1,10,0.884127
11,0,0.0220525,-11.5423,10.1897,21.3354,,,0.907926,11,2022-01-01 11:00:00,2022,1,11,0.854774
12,0,0.0273512,-10.8326,12.3734,26.4263,,,0.899597,12,2022-01-01 12:00:00,2022,1,12,0.820176
13,0,0.033921,-7.98889,15.6954,32.7791,,,0.891669,13,2022-01-01 13:00:00,2022,1,13,0.522773
14,0,0.026791,-8.61296,11.4927,25.9352,,,0.75438,14,2022-01-01 14:00:00,2022,1,14,0.647129
15,0,0.0313936,-8.85739,10.1555,30.338,,,0.468635,15,2022-01-01 15:00:00,2022,1,15,0.421807
16,0,0.00742518,-12.382,2.4784,7.29695,,,0.99,16,2022-01-01 16:00:00,2022,1,16,0.967179
