Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,204382,-,-,-,44.57,-123.22,-8,56,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2016,1,1,0,30,0,0,0,-6,-3,1010,41,0.8,0.13
2016,1,1,1,30,0,0,0,-6,-2,1010,40,0.8,0.13
2016,1,1,2,30,0,0,0,-6,-2,1010,40,0.8,0.13
2016,1,1,3,30,0,0,0,-6,-2,1010,38,0.8,0.13
2016,1,1,4,30,0,0,0,-6,-2,1010,37,0.8,0.13
2016,1,1,5,30,0,0,0,-6,-2,1010,41,0.8,0.13
2016,1,1,6,30,0,0,0,-6,-2,1010,46,0.7000000000000001,0.13
2016,1,1,7,30,0,0,0,-6,-1,1010,54,0.7000000000000001,0.13
2016,1,1,8,30,543,22,70,-5,0,1010,56,1.1,0.13
2016,1,1,9,30,777,37,206,-5,0,1010,58,1.5,0.13
2016,1,1,10,30,872,45,317,-4,2,1010,73,1.6,0.13
2016,1,1,11,30,912,48,384,-3,3,1010,82,1.7000000000000002,0.13
2016,1,1,12,30,919,49,399,-2,4,1010,83,1.6,0.13
2016,1,1,13,30,892,49,359,-2,4,1000,80,1.4000000000000001,0.13
2016,1,1,14,30,830,43,270,-1,3,1000,76,1.1,0.13
2016,1,1,15,30,690,33,144,-1,1,1000,76,0.9,0.13
2016,1,1,16,30,294,10,16,-3,0,1000,74,0.9,0.13
2016,1,1,17,30,0,0,0,-4,-1,1000,81,0.8,0.13
2016,1,1,18,30,0,0,0,-5,-1,1000,89,0.8,0.13
2016,1,1,19,30,0,0,0,-5,-2,1000,88,0.7000000000000001,0.13
2016,1,1,20,30,0,0,0,-6,-2,1000,89,0.7000000000000001,0.13
2016,1,1,21,30,0,0,0,-6,-2,1000,87,0.7000000000000001,0.13
2016,1,1,22,30,0,0,0,-6,-2,1000,84,0.7000000000000001,0.13
2016,1,1,23,30,0,0,0,-6,-2,1000,82,0.7000000000000001,0.13
2016,1,2,0,30,0,0,0,-6,-3,1000,78,0.8,0.13
2016,1,2,1,30,0,0,0,-6,-3,1000,77,0.7000000000000001,0.13
2016,1,2,2,30,0,0,0,-6,-3,1000,79,0.7000000000000001,0.13
2016,1,2,3,30,0,0,0,-6,-3,1000,82,0.6000000000000001,0.13
2016,1,2,4,30,0,0,0,-6,-3,1000,79,0.7000000000000001,0.13
2016,1,2,5,30,0,0,0,-7,-4,1000,72,0.9,0.13
2016,1,2,6,30,0,0,0,-8,-4,1000,68,1.1,0.13
2016,1,2,7,30,0,0,0,-8,-4,1000,67,1.2000000000000002,0.13
2016,1,2,8,30,462,26,66,-8,-3,1000,67,1.3,0.13
2016,1,2,9,30,710,47,201,-7,-2,1000,70,1.4000000000000001,0.13
2016,1,2,10,30,811,58,312,-7,0,1000,92,1.5,0.13
2016,1,2,11,30,854,64,379,-6,1,1000,102,1.5,0.13
2016,1,2,12,30,860,65,394,-5,2,1000,92,1.4000000000000001,0.13
2016,1,2,13,30,833,63,354,-4,2,1000,87,1.1,0.13
2016,1,2,14,30,762,55,266,-3,1,1000,85,0.7000000000000001,0.13
2016,1,2,15,30,604,41,140,-1,0,1000,76,0.6000000000000001,0.13
2016,1,2,16,30,184,12,16,-3,0,1000,74,0.7000000000000001,0.13
2016,1,2,17,30,0,0,0,-4,-1,1000,78,0.8,0.13
2016,1,2,18,30,0,0,0,-4,-2,1000,76,0.7000000000000001,0.13
2016,1,2,19,30,0,0,0,-5,-2,1000,74,0.7000000000000001,0.13
2016,1,2,20,30,0,0,0,-5,-2,1000,65,0.8,0.13
2016,1,2,21,30,0,0,0,-6,-3,1000,59,0.8,0.13
2016,1,2,22,30,0,0,0,-7,-4,1000,55,0.7000000000000001,0.13
2016,1,2,23,30,0,0,0,-8,-5,1000,56,0.7000000000000001,0.13
2016,1,3,0,30,0,0,0,-8,-6,990,60,0.8,0.13
2016,1,3,1,30,0,0,0,-8,-6,990,63,0.8,0.13
2016,1,3,2,30,0,0,0,-8,-5,990,62,0.9,0.13
2016,1,3,3,30,0,0,0,-7,-4,990,72,0.8,0.13
2016,1,3,4,30,0,0,0,-5,-2,990,77,0.7000000000000001,0.13
2016,1,3,5,30,0,0,0,-4,-2,990,66,0.7000000000000001,0.13
2016,1,3,6,30,0,0,0,-3,-1,990,64,0.7000000000000001,0.13
2016,1,3,7,30,0,0,0,-2,0,990,68,0.8,0.13
2016,1,3,8,30,0,13,13,-1,0,990,75,0.8,0.13
2016,1,3,9,30,0,44,44,0,1,990,81,0.7000000000000001,0.13
2016,1,3,10,30,0,71,71,1,2,990,87,0.6000000000000001,0.13
2016,1,3,11,30,0,85,85,1,2,990,97,0.6000000000000001,0.13
2016,1,3,12,30,0,57,57,2,3,990,113,0.7000000000000001,0.13
2016,1,3,13,30,0,92,92,2,3,990,113,0.7000000000000001,0.13
2016,1,3,14,30,0,69,69,1,2,990,102,0.7000000000000001,0.13
2016,1,3,15,30,0,36,36,1,2,990,100,0.7000000000000001,0.13
2016,1,3,16,30,0,4,4,1,2,990,115,0.7000000000000001,0.13
2016,1,3,17,30,0,0,0,1,2,990,140,0.7000000000000001,0.13
2016,1,3,18,30,0,0,0,1,2,990,156,0.8,0.13
2016,1,3,19,30,0,0,0,1,2,990,162,0.8,0.13
2016,1,3,20,30,0,0,0,1,2,990,162,0.7000000000000001,0.13
2016,1,3,21,30,0,0,0,1,2,990,158,0.7000000000000001,0.13
2016,1,3,22,30,0,0,0,1,1,990,154,0.7000000000000001,0.13
2016,1,3,23,30,0,0,0,0,1,990,149,0.6000000000000001,0.13
2016,1,4,0,30,0,0,0,0,1,990,147,0.6000000000000001,0.13
2016,1,4,1,30,0,0,0,0,1,990,144,0.6000000000000001,0.13
